name, week_1, week_2, week_3, week_4, week_5, week_6
G.Jesus,0,0,0,1,0,0
Nketiah,1,0,1,0,0,0
Odegaard,0,1,0,1,0,0
Saka,1,0,1,0,0,1
Trossard,0,0,0,0,1,0
Rice,0,0,0,1,0,0
Bailey,0,1,0,0,1,0
Cash,0,0,2,0,0,0
Douglas Luiz,0,1,0,0,1,0
Duran,0,1,0,0,1,0
McGinn,0,1,0,0,0,0
Watkins,0,0,0,0,0,1
Diaby,1,0,1,0,0,0
Brooks,0,0,0,1,0,0
Semenyo,0,1,0,0,0,0
Solanke,1,0,0,1,0,1
Jensen,0,0,0,1,0,1
Mbeumo,1,2,0,1,0,0
Schade,0,0,1,0,0,0
Wissa,1,1,0,0,0,0
Adingra,1,0,0,0,0,0
Estupinan,0,1,0,0,0,0
Ferguson,1,0,0,3,0,0
Gross,0,0,1,0,1,0
Joao Pedro,1,0,0,0,1,0
March,1,2,0,0,0,0
Mitoma,0,1,0,0,0,2
Welbeck,0,0,0,0,1,0
Brownhill,0,0,0,1,0,0
Foster,0,0,1,1,0,0
Amdouni,0,0,0,0,1,0
Chukwuemeka,0,1,0,0,0,0
N.Jackson,0,0,1,0,0,0
Sterling,0,0,2,0,0,0
Disasi,1,0,0,0,0,0
Andersen,0,0,1,0,0,0
Edouard,1,0,0,2,1,0
Eze,0,0,0,1,0,0
Calvert-Lewin,0,0,0,0,0,1
A.Doucoure,0,0,0,1,0,1
Tarkowski,0,0,0,0,0,1
Danjuma,0,0,0,1,0,0
Andreas,0,0,1,0,0,0
De Cordova-Reid,1,0,0,0,0,0
J.Palhinha,0,0,1,0,0,0
Ream,0,0,0,1,0,0
Darwin,0,0,2,0,0,1
Diogo J.,0,1,0,0,0,1
Gakpo,0,0,0,0,1,0
Luis Diaz,1,1,0,0,0,0
Robertson,0,0,0,0,1,0
Salah,0,1,0,1,0,1
Szoboszlai,0,0,0,1,0,0
M.Andersen,0,0,0,1,0,0
Morris,1,0,0,0,0,1
Ake,0,0,0,1,0,0
J.Alvarez,0,1,0,1,0,0
Bernardo,0,0,0,0,1,0
Foden,0,0,0,0,0,1
Haaland,2,0,1,3,1,1
Rodrigo,1,0,1,0,0,0
Doku,0,0,0,0,1,0
B.Fernandes,0,0,1,0,0,1
Casemiro,0,0,1,0,0,0
Eriksen,0,0,1,0,0,0
R.Varane,1,0,0,0,0,0
Rashford,0,0,0,1,0,0
Almiron,0,0,0,0,0,1
Botman,0,0,0,0,0,1
Bruno G.,0,0,0,0,0,1
Burn,0,0,0,0,0,1
Isak,2,0,0,0,0,1
Longstaff,0,0,0,0,0,1
Tonali,1,0,0,0,0,0
Wilson,1,0,0,1,1,1
Barnes,1,0,0,0,0,0
Hudson-Odoi,0,0,0,0,1,0
Elanga,0,0,0,1,0,0
Awoniyi,1,1,1,0,0,0
Boly,0,0,1,0,0,0
Wood,0,1,0,0,0,0
Archer,0,0,0,1,0,0
Bogle,0,0,1,0,0,0
Hamer,0,1,0,0,1,0
E.Royal,1,0,0,0,0,0
Kulusevski,0,0,1,0,1,0
Maddison,0,0,1,1,0,0
Richarlison,0,0,0,0,1,0
Romero,1,0,0,1,0,0
Sarr,0,1,0,0,0,0
Son,0,0,0,3,0,2
N.Aguerd,0,1,0,0,0,0
Antonio,0,1,1,0,0,0
Bowen,1,0,1,1,0,1
L.Paqueta,0,1,0,0,0,0
Zouma,0,0,0,1,0,0
Ward-Prowse,0,0,1,0,1,0
Hee Chan,0,1,0,1,1,0
Kalajdzic,0,0,1,0,0,0
Neto,0,0,0,0,0,1
Cunha,0,0,0,1,0,0
