element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name
341,1,6,6,False,2023-08-11T19:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,23,22.0,1.3,0.0,2.3,1,0.00,0.01,0.01,0.30,50,0,376450,0,0,Akanji
341,16,15,7,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,1,28,16.4,16.0,1.0,3.3,1,0.03,0.02,0.05,0.29,50,90710,559028,119275,28565,Akanji
341,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,51,481396,1109047,524165,42769,Akanji
341,39,10,2,True,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,1,0,0,0,0,0,0,0,18,15.4,6.5,4.0,2.6,1,0.00,0.19,0.19,1.45,51,-232181,858486,52658,284839,Akanji
341,49,19,2,False,2023-09-16T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,0,0,0,0,16,27.8,28.3,0.0,5.6,1,0.00,0.04,0.04,0.94,51,-46969,835396,28588,75557,Akanji
342,1,6,7,False,2023-08-11T19:00:00Z,0,3,1,78,0,0,1,0,0,0,0,0,0,0,1,32,14.2,1.9,10.0,2.6,1,0.31,0.01,0.32,0.23,50,0,293028,0,0,Aké
342,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,201248,664994,229935,28687,Aké
342,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,15,16.8,1.7,9.0,2.8,1,0.11,0.01,0.12,0.73,51,-51660,623749,61576,113236,Aké
342,39,10,8,True,2023-09-02T14:00:00Z,5,1,4,90,1,0,0,1,0,0,0,0,0,0,0,27,45.2,2.9,19.0,6.7,1,0.03,0.01,0.04,1.45,51,1235,645859,49995,48760,Aké
342,49,19,1,False,2023-09-16T14:00:00Z,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00,0.00,0.00,0.00,51,102441,789816,138862,36421,Aké
343,1,6,5,False,2023-08-11T19:00:00Z,0,3,1,90,0,1,1,0,0,0,0,0,0,0,0,25,30.6,84.8,28.0,14.3,1,0.39,0.37,0.76,0.30,65,0,396614,0,0,J.Alvarez
343,16,15,7,True,2023-08-19T19:00:00Z,1,0,2,90,1,0,1,0,0,0,0,1,0,0,2,33,38.4,27.5,21.0,8.7,1,0.11,0.02,0.13,0.29,65,22454,488030,74423,51969,J.Alvarez
343,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,7,13.4,54.9,64.0,13.2,1,0.79,0.18,0.97,0.73,66,328987,876700,387880,58893,J.Alvarez
