Name,Position,Team
Haaland,Forward,Man City
J.Alvarez,Forward,Man City
Mbeumo,Midfielder,Brentford
Salah,Midfielder,Liverpool
Bowen,Midfielder,West Ham
Edouard,Forward,Crystal Palace
Saka,Midfielder,Arsenal
Awoniyi,Forward,Nottm Forest
Maddison,Midfielder,Spurs
Son,Midfielder,Spurs
Diaby,Midfielder,Aston Villa
March,Midfielder,Brighton
Romero,Defender,Spurs
Ward-Prowse,Midfielder,West Ham
Rodrigo,Midfielder,Man City
Sterling,Midfielder,Chelsea
Ferguson,Forward,Brighton
Gross,Midfielder,Brighton
Leno,Goalkeeper,Fulham
Mitoma,Midfielder,Brighton
Neto,Midfielder,Wolves
Neto,Goalkeeper,Bournemouth
Udogie,Defender,Spurs
Wissa,Forward,Brentford
Ødegaard,Midfielder,Arsenal
Andersen,Defender,Crystal Palace
Areola,Goalkeeper,West Ham
Disasi,Defender,Chelsea
Gusto,Defender,Chelsea
Kulusevski,Midfielder,Spurs
Vicario,Goalkeeper,Spurs
Foden,Midfielder,Man City
Robertson,Defender,Liverpool
Solanke,Forward,Bournemouth
Cash,Defender,Aston Villa
Darwin,Forward,Liverpool
Douglas Luiz,Midfielder,Aston Villa
Nketiah,Forward,Arsenal
Saliba,Defender,Arsenal
Sanchez,Goalkeeper,Chelsea
Watkins,Forward,Aston Villa
Antonio,Forward,West Ham
Bailey,Midfielder,Aston Villa
Estupiñan,Defender,Brighton
Jensen,Midfielder,Brentford
Rashford,Midfielder,Man Utd
Szoboszlai,Midfielder,Liverpool
A.Becker,Goalkeeper,Liverpool
Digne,Defender,Aston Villa
Eriksen,Midfielder,Man Utd
Gordon,Midfielder,Newcastle
Hamer,Midfielder,Sheffield Utd
Luis Díaz,Midfielder,Liverpool
Ream,Defender,Fulham
Rice,Midfielder,Arsenal
B.Fernandes,Midfielder,Man Utd
Diogo J.,Midfielder,Liverpool
Ederson M.,Goalkeeper,Man City
Hee Chan,Midfielder,Wolves
Isak,Forward,Newcastle
José Sá,Goalkeeper,Wolves
Schade,Midfielder,Brentford
Aké,Defender,Man City
Andreas,Midfielder,Fulham
Bernardo,Midfielder,Man City
Boly,Defender,Nottm Forest
Botman,Defender,Newcastle
Pedro Porro,Defender,Spurs
Sarr,Midfielder,Spurs
Walker,Defender,Man City
White,Defender,Arsenal
Wilson,Forward,Newcastle
Zouma,Defender,West Ham
Akanji,Defender,Man City
Aurier,Defender,Nottm Forest
Colwill,Defender,Chelsea
Foster,Forward,Burnley
Gibbs-White,Midfielder,Nottm Forest
João Pedro,Forward,Brighton
McGinn,Midfielder,Aston Villa
Mitchell,Defender,Crystal Palace
Morris,Forward,Luton
T.Silva,Defender,Chelsea
A.Doucoure,Midfielder,Everton
Alexander-Arnold,Defender,Liverpool
Barnes,Midfielder,Newcastle
Casemiro,Midfielder,Man Utd
Eze,Midfielder,Crystal Palace
Gilmour,Midfielder,Brighton
L.Paquetá,Midfielder,West Ham
Martinelli,Midfielder,Arsenal
Van de Ven,Defender,Spurs
Chilwell,Defender,Chelsea
De Cordova-Reid,Midfielder,Fulham
Elanga,Midfielder,Nottm Forest
Flekken,Goalkeeper,Brentford
J.Ayew,Midfielder,Crystal Palace
Pope,Goalkeeper,Newcastle
R.Varane,Defender,Man Utd
Wan-Bissaka,Defender,Man Utd
Collins,Defender,Brentford
Cunha,Forward,Wolves
Diop,Defender,Fulham
Duran,Forward,Aston Villa
Foderingham,Goalkeeper,Sheffield Utd
Fábio Vieira,Midfielder,Arsenal
Richarlison,Midfielder,Spurs
Turner,Goalkeeper,Nottm Forest
Adingra,Midfielder,Brighton
Amdouni,Forward,Burnley
Archer,Forward,Sheffield Utd
Bogle,Defender,Sheffield Utd
Brooks,Midfielder,Bournemouth
Danjuma,Midfielder,Everton
Henry,Defender,Brentford
J.Palhinha,Midfielder,Fulham
Mateta,Forward,Crystal Palace
Nørgaard,Midfielder,Brentford
Onana,Goalkeeper,Man Utd
Pinnock,Defender,Brentford
Reed,Midfielder,Fulham
Rúben,Defender,Man City
Semenyo,Forward,Bournemouth
Trippier,Defender,Newcastle
Trossard,Midfielder,Arsenal
Benrahma,Midfielder,West Ham
Coufal,Defender,West Ham
Gakpo,Forward,Liverpool
Johnstone,Goalkeeper,Crystal Palace
Martinez,Goalkeeper,Aston Villa
McKenna,Defender,Nottm Forest
Schär,Defender,Newcastle
Solomon,Midfielder,Spurs
Tete,Defender,Fulham
Wilson,Midfielder,Fulham
Worrall,Defender,Nottm Forest
Andersen,Defender,Luton
Billing,Midfielder,Bournemouth
Burn,Defender,Newcastle
Doku,Midfielder,Man City
E.Royal,Defender,Spurs
Gallagher,Midfielder,Chelsea
Guéhi,Defender,Crystal Palace
Janelt,Midfielder,Brentford
Kilman,Defender,Wolves
Koleosho,Midfielder,Burnley
Konsa,Defender,Aston Villa
N.Jackson,Forward,Chelsea
Pau,Defender,Aston Villa
Ramsdale,Goalkeeper,Arsenal
Schlupp,Midfielder,Crystal Palace
Souček,Midfielder,West Ham
Tonali,Midfielder,Newcastle
Welbeck,Forward,Brighton
Wood,Forward,Nottm Forest
Zabarnyi,Defender,Bournemouth
Zinchenko,Defender,Arsenal
Aarons,Defender,Bournemouth
Bissouma,Midfielder,Spurs
C.Doucouré,Midfielder,Crystal Palace
Christie,Midfielder,Bournemouth
Gomez,Defender,Liverpool
Grealish,Midfielder,Man City
Gvardiol,Defender,Man City
Hudson-Odoi,Midfielder,Nottm Forest
Kamara,Midfielder,Aston Villa
Kerkez,Defender,Bournemouth
Kovačić,Midfielder,Man City
Longstaff,Midfielder,Newcastle
Matip,Defender,Liverpool
N.Aguerd,Defender,West Ham
Onana,Midfielder,Everton
